Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Miyabi Sushi & Bento,"Next to Four Points by Sheraton, Behind UAE Exchange, Sh Zayed Road",Dubai,391073,"04-3868444,800MIYABI",050-2563842,https://www.yellowpages-uae.com/uae/restaurant/miyabi-sushi-bento-153749.html,https://media.yellowpages-uae.com/wfile/webplogo/300762.webp
101 Parathas,"Near Grand Hotel, Abu Shagara",Sharjah,,06-5538106,06-5538136,https://www.yellowpages-uae.com/uae/restaurant/101-parathas-175272.html,
18 Buffet,Al Garhoud,Dubai,,04-2999115,,https://www.yellowpages-uae.com/uae/restaurant/18-buffet-147330.html,
18 Degree,"Hyatt Capital Gate, Al Arabi Street",Abu Dhabi,,02-5961440,,https://www.yellowpages-uae.com/uae/restaurant/18-degree-175665.html,
24h.ae Online Food Delivery Services,Al Barsha,Dubai,357347,04-4572307,,https://www.yellowpages-uae.com/uae/restaurant/24h-ae-online-food-delivery-services-148551.html,
4 Guys,,Dubai,,04-4357377,,https://www.yellowpages-uae.com/uae/restaurant/4-guys-147691.html,
55 & 5th Restaurant,Saadiyat Island,Abu Dhabi,,02-4988008,,https://www.yellowpages-uae.com/uae/restaurant/55-5th-restaurant-175732.html,
77 Veggie Boutique,"Boutique 11, Tiffany Tower, JLT",Dubai,644817,04-4224116,,https://www.yellowpages-uae.com/uae/restaurant/77-veggie-boutique-152094.html,
800 Pizza,,Dubai,,80074992,,https://www.yellowpages-uae.com/uae/restaurant/800-pizza-175280.html,
Aangan Restaurant,"Dhow Palace Hotel, Bur Dubai",Dubai,,04-3599992,,https://www.yellowpages-uae.com/uae/restaurant/aangan-restaurant-175630.html,
Abdul Aziz Restaurant,Sanaiya,Al Ain,16935,03-7211335,,https://www.yellowpages-uae.com/uae/restaurant/abdul-aziz-restaurant-131916.html,
Abdulla Zaid Restaurant,"Next to Al Shook Recording, Al Sham",Ras Al Khaimah,6744,07-2666693,,https://www.yellowpages-uae.com/uae/restaurant/abdulla-zaid-restaurant-134635.html,
Abdullas Food Court,"US Accommodation, JAFZA",Jebel Ali,18009,04-8833115,,https://www.yellowpages-uae.com/uae/restaurant/abdullas-food-court-148309.html,
Abeer Cafeteria,"Al Rafaa Rd, Bur Dubai",Dubai,,04-3557715,050-5284843,https://www.yellowpages-uae.com/uae/restaurant/abeer-cafeteria-172952.html,
Abshar Iranian Restaurant,Jumeirah,Dubai,56484,04-3940950,,https://www.yellowpages-uae.com/uae/restaurant/abshar-iranian-sweets-llc--149341.html,
Abshar Restaurant LLC,"Al Butin Plaza, Al Maktoum St, Deira",Dubai,63788,04-2230555,,https://www.yellowpages-uae.com/uae/restaurant/abshar-restaurant-llc-122743.html,
Abu Fadi Restaurant,Jamal Abdel Naser St,Sharjah,82122,06-5535702,,https://www.yellowpages-uae.com/uae/restaurant/abu-fadi-restaurant-151047.html,
Abu Hamdan Catering Services LLC,"1st Floor, M-36, Abu Hamdan Building, Near Car Taxi, Musaffah",Abu Dhabi,37471,02-5575757,,https://www.yellowpages-uae.com/uae/restaurant/abu-hamdan-catering-services-llc-154130.html,
Abu Khalid Restaurant,"Sona Bazaar, Park Rd",Fujairah,456,09-2224592,,https://www.yellowpages-uae.com/uae/restaurant/abu-khalid-restaurant-138876.html,
Abu Nasar Restaurant,TCA,Abu Dhabi,,02-6452229,,https://www.yellowpages-uae.com/uae/restaurant/abu-nasar-restaurant-147960.html,
Abu Shakra Restaurant,Istiqlal St,Abu Dhabi,8090,02-6313400,,https://www.yellowpages-uae.com/uae/restaurant/abu-shakra-restaurant-128470.html,
Accuro Specialist Support Services,Dubai Investment Park - 2,Dubai,283923,04-8071900,,https://www.yellowpages-uae.com/uae/restaurant/accuro-specialist-support-services-160593.html,
Afamia Al Shaam,Khalifa,Abu Dhabi,,02-5526630,,https://www.yellowpages-uae.com/uae/restaurant/afamia-al-shaam-102712.html,
Afdal Restaurant and Grill,Muroor Rd,Abu Dhabi,55204,02-4493916,,https://www.yellowpages-uae.com/uae/restaurant/afdal-restaurant-and-grill-123500.html,
Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area",Sharjah,40179,06-5638761,,https://www.yellowpages-uae.com/uae/restaurant/afghan-darbar-restaurant-llc-147100.html,
Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area",Dubai,124145,04-3397925,,https://www.yellowpages-uae.com/uae/restaurant/agemono-restaurant-132116.html,
Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2",Dubai,,04-2574448,,https://www.yellowpages-uae.com/uae/restaurant/ahl-almandi-restaurant-68506.html,
Ahmed Al Arab Restaurant,Muroor Rd,Abu Dhabi,70112,02-4431848,,https://www.yellowpages-uae.com/uae/restaurant/ahmed-al-arab-restaurant-118134.html,
Airlines Restaurant,Hamdan St,Abu Dhabi,4862,02-6335214,,https://www.yellowpages-uae.com/uae/restaurant/airlines-restaurant-104292.html,
Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,Ajman,2,06-7462277,,https://www.yellowpages-uae.com/uae/restaurant/ajman-spring-restaurant-grills-176924.html,
Akher Saa Restaurant,Jamal Abdul Nasir Street,Sharjah,,06-5501999,,https://www.yellowpages-uae.com/uae/restaurant/akher-saa-restaurant-103615.html,
Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla",Sharjah,2907,06-5615335,,https://www.yellowpages-uae.com/uae/restaurant/al-abraj-restaurant-68587.html,
Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara",Sharjah,,06-5506674,,https://www.yellowpages-uae.com/uae/restaurant/al-afghani-al-khas-lil-kabab-restaurant-llc-103485.html,
Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara",Sharjah,,06-5512323,056-2402323,https://www.yellowpages-uae.com/uae/restaurant/al-afrah-al-thahabya-restaurant-llc-175370.html,
Al Ain Restaurant,"Next KFC, Airport Rd",Abu Dhabi,25361,02-6422507,,https://www.yellowpages-uae.com/uae/restaurant/al-ain-restaurant-129027.html,
Al Akhwan Restaurant,,Dubai,,04-2621704,,https://www.yellowpages-uae.com/uae/restaurant/al-akhwan-restaurant-146795.html,
Al Akl Al Har Restaurant LLC,"Shop 2 & 3, Al Qassimiya",Sharjah,30459,06-5507939,,https://www.yellowpages-uae.com/uae/restaurant/al-akl-al-har-restaurant-llc-148014.html,
Al Amoor Restaurant,Al Quoz Indl Area,Dubai,,04-3470787,800 2526667,https://www.yellowpages-uae.com/uae/restaurant/al-amoor-restaurant-175202.html,
Al Anood Restaurant,"Near Asmara S/Market, Al Mamoorah",Ras Al Khaimah,12242,07-2236516,,https://www.yellowpages-uae.com/uae/restaurant/al-anood-restaurant-138539.html,
Al Arrab Restaurant,Dubai Silicon Oasis Authority,Dubai,19492,04-3264949,,https://www.yellowpages-uae.com/uae/restaurant/al-arrab-restaurant-153642.html,
Al Aumdah Restaurant,"Al Mamzar Building, Abu Hail",Dubai,,04-2667749,050-3799440,https://www.yellowpages-uae.com/uae/restaurant/al-aumdah-restaurant-175275.html,
Al Ayoubia Restaurant,Al Nasr St,Abu Dhabi,71955,02-6215242,,https://www.yellowpages-uae.com/uae/restaurant/al-ayoubia-restaurant-138785.html,
Al Badawi Restaurant,Jamal Abdul Nasir Street,Sharjah,,06-5444066,,https://www.yellowpages-uae.com/uae/restaurant/al-badawi-restaurant-103619.html,
Al Bait Al Malaky Mandi Restaurant,"Opp Safeer Mall, Ittihad Road",Sharjah,,06-5256663,05-5350075,https://www.yellowpages-uae.com/uae/restaurant/al-bait-al-malaky-mandi-restaurant-175596.html,
Al Banadir Family Restaurant LLC,"Near Manama Center, Fire Stn R/A",Sharjah,,06-5628928,,https://www.yellowpages-uae.com/uae/restaurant/al-banadir-family-restaurant-llc-151044.html,
Al Barakah Restaurant,"Near Natl S/Market, Rams Rd",Ras Al Khaimah,4612,07-2238349,,https://www.yellowpages-uae.com/uae/restaurant/al-barakah-restaurant-134324.html,
Al Bawadir Restaurant,,Sharjah,70803,06-5515957,,https://www.yellowpages-uae.com/uae/restaurant/al-bawadir-restaurant-147687.html,
Al Bayan Purification and Potable Water LLC,Mussafah Indl Area,Abu Dhabi,51845,02-5510370,,https://www.yellowpages-uae.com/uae/restaurant/al-bayan-purification-and-potable-water-llc-106237.html,
Al Bustan Hotel,"Near Immigration Office, Al Kuwait Rd",Sharjah,6006,06-5731555,,https://www.yellowpages-uae.com/uae/restaurant/al-bustan-hotel-113458.html,
Al Bustan Restaurant,Al Etihad Rd,Umm Al Quwain,505,06-7670077,,https://www.yellowpages-uae.com/uae/restaurant/al-bustan-restaurant-149782.html,
Al Daba Restaurant,"Near Moonlight S/Market, Julphar Rd, Julan",Ras Al Khaimah,4803,07-2238610,,https://www.yellowpages-uae.com/uae/restaurant/al-daba-restaurant-138076.html,
Al Dahleez Restaurant,Garhoud,Dubai,37137,04-2823922,,https://www.yellowpages-uae.com/uae/restaurant/al-dahleez-restaurant-127755.html,
Al Diar Siji Hotel,"Next to Fujairah Trade Centre, Beside Etisalat Bldg",Fujairah,1199,09-2232000,,https://www.yellowpages-uae.com/uae/restaurant/al-diar-siji-hotel-117567.html,
Al Fakher Mandi & Traditional Restaurant,"Behind Labour Ministry, Hor Al Anz",Dubai,,04-2664660,"050-5712126, 04-2664",https://www.yellowpages-uae.com/uae/restaurant/al-fakher-mandi-traditional-restaurant-172953.html,
Al Falah Cafeteria,Abu Shagara,Sharjah,,06-5482275,055-3587798,https://www.yellowpages-uae.com/uae/restaurant/al-falah-cafeteria-175213.html,
Al Falah Restaurant and Cafeteria,Al Salam Road,Fujairah,,09-2235151,,https://www.yellowpages-uae.com/uae/restaurant/al-falah-restaurant-and-cafeteria-178652.html,
Al Falak Restaurant,"Baladiya Building, Near Wadi 28, Al Maqam",Al Ain,3232,03-7681200,050-6732325,https://www.yellowpages-uae.com/uae/restaurant/al-falak-restaurant-173331.html,
Al Falasi Restaurant & Cafeteria,Al Ghusais,Dubai,18977,04-2673141,,https://www.yellowpages-uae.com/uae/restaurant/al-falasi-restaurant-cafeteria-103525.html,
